1001,309,1710323904369,-399
1002,305,1715880504435,860
1003,206,1711360280186,-974
1004,106,1714035166279,771
1005,302,1708001053534,-552
1006,304,1709352019995,851
1007,205,1710141229543,416
1008,207,1707127263904,-11
1009,304,1710920249467,612
1010,101,1712701579273,392
1011,303,1707638990912,662
1012,111,1706742092188,91
1013,309,1711298173280,-669
1014,206,1707065688825,387
1015,108,1707282746831,-381
1016,212,1710428128493,838
1017,302,1709593138619,-30
1018,311,1715020529184,-333
1019,301,1708226929013,854
1020,301,1712485891162,369
1021,204,1715581168338,-191
1022,101,1715839728403,396
1023,207,1712222545918,-980
1024,310,1708188331519,-787
1025,101,1708175264213,-952
1026,208,1709212990905,-14
1027,204,1710415395071,-207
1028,101,1715140972376,233
1029,110,1714573747372,604
1030,106,1707643759742,-950
1031,107,1712582704561,-245
1032,301,1711702009977,616
1033,105,1708306622845,595
1034,207,1708634808626,-521
1035,107,1714277454193,-537
1036,309,1712617699127,860
1037,303,1715256343461,-562
1038,203,1710792046168,-672
1039,302,1707956355801,-677
1040,103,1708943405543,-740
1041,203,1715134228047,66
1042,305,1708025355126,852
1043,103,1708816642092,-218
1044,104,1716450070117,189
1045,109,1714238359574,362
1046,107,1712083776486,622
1047,311,1706821390872,-174
1048,109,1708569734087,-746
1049,303,1715340516248,-71
1050,210,1708079349792,655
1051,308,1714693015877,40
1052,310,1712833529595,468
1053,210,1709770743108,-186
1054,208,1708253966988,688
1055,107,1707872264169,-376
1056,306,1712775402469,15
1057,103,1716057118419,410
1058,106,1710976291264,736
1059,107,1712703520737,-268
1060,204,1715031327320,-589
1061,207,1709823997770,488
1062,112,1710459782990,574
1063,112,1706586651960,-875
1064,211,1713727261236,-51
1065,304,1711025620468,545
1066,211,1714443516745,570
1067,309,1711209624669,-133
1068,108,1708598054772,-867
1069,303,1711247837852,-94
1070,111,1714833338934,766
1071,109,1707214498320,-690
1072,110,1709390637725,949
1073,304,1715789129227,778
1074,303,1715153959177,-809
1075,112,1708099960209,265
1076,211,1707669221108,-672
1077,305,1706617880910,-704
1078,107,1710221208490,987
1079,102,1708781732839,-43
1080,311,1714965417577,-55
1081,302,1707812036479,243
1082,109,1711242741556,716
1083,103,1710276888199,357
1084,204,1713339402185,429
1085,207,1709232400651,-48
1086,312,1710770360930,-16
1087,309,1710638649046,-827
1088,102,1706683749489,-972
1089,311,1715075612309,-670
1090,212,1714152411158,975
1091,306,1710673120322,398
1092,102,1714614239955,-814
1093,312,1714421391765,178
1094,211,1713271188857,606
1095,201,1708178405748,-361
1096,305,1710863660553,537
1097,112,1709070323673,-124
1098,308,1716143438730,153
1099,205,1711685980024,133
1100,305,1714648572921,-335
1101,212,1706699624791,508
1102,104,1713638691989,805
1103,305,1715064137706,-898
1104,308,1710968213832,-794
1105,301,1711212009106,811
1106,304,1715256402006,-918
1107,202,1713502515657,776
1108,312,1710818962479,631
1109,212,1715104243248,-736
1110,308,1708468855172,-3
1111,103,1707264099691,730
1112,107,1709301044977,-856
1113,310,1709271963412,-80
1114,301,1709511997438,-915
1115,205,1715270957163,989
1116,103,1707612172805,-712
1117,112,1716277394867,932
1118,102,1708456033832,714
1119,306,1707228339838,-81
1120,209,1706928406315,558
1121,203,1714371579575,226
1122,103,1710566879094,278
1123,203,1707100644919,162
1124,102,1714757687032,711
1125,209,1708460155955,-432
1126,104,1711498569572,-159
1127,103,1706694508417,-173
1128,210,1713931022020,174
1129,104,1712150389136,-397
1130,108,1708827690152,950
1131,203,1713536898006,534
1132,310,1712007912632,-884
1133,105,1714941251175,-3
1134,306,1710421125941,-807
1135,203,1709572196241,696
1136,104,1707855909765,87
1137,311,1709370669714,-886
1138,206,1708561251714,-494
1139,301,1709651538022,280
1140,211,1708918344985,768
1141,309,1716500309558,178
1142,302,1707128952614,-557
1143,307,1712012106344,-803
1144,311,1712256247897,-198
1145,212,1707640410506,-336
1146,101,1707066529163,966
1147,101,1707968637369,-965
1148,105,1715660347697,-44
1149,207,1707800666124,305
1150,108,1708878083123,-69
1151,202,1707343894059,4
1152,202,1711167428974,-726
1153,205,1707222149600,-851
1154,106,1707777638089,-47
1155,206,1713318024850,31
1156,208,1713175335826,785
1157,111,1711471095026,436
1158,207,1714839410092,-952
1159,111,1706859392110,248
1160,207,1714731007900,-63
1161,309,1712366682450,455
1162,306,1711972053630,-726
1163,211,1711809990435,-575
1164,307,1712941126868,-594
1165,103,1713002072735,968
1166,110,1715929777958,446
1167,312,1716307481500,604
1168,310,1708094715465,440
1169,309,1710863672961,595
1170,311,1716460163724,581
1171,101,1709337049374,830
1172,201,1713478217622,677
1173,204,1713172573709,715
1174,112,1711089020945,-621
1175,306,1707868848987,7
1176,208,1712734488896,424
1177,211,1707560015482,811
1178,103,1707024445915,329
1179,101,1707221064942,873
1180,208,1708698973054,-174
1181,102,1706702370985,215
1182,306,1712155114876,-633
1183,201,1713226906613,490
1184,201,1713227877759,288
1185,306,1712331207394,317
1186,204,1716460428278,842
1187,104,1708262161628,439
1188,205,1707872600755,-344
1189,211,1712081049077,698
1190,111,1708151970138,-477
1191,102,1712737618442,689
1192,301,1712739656570,-427
1193,206,1707603353783,-275
1194,311,1707858771601,-354
1195,109,1706924260589,331
1196,306,1712345773392,-303
1197,311,1706860815848,898
1198,306,1715903592916,38
1199,112,1716383610388,-195
1200,208,1710456814685,12
